config,seed,delivered,on_time,invalid,avg_reward
baseline,42,0.9333333333333333,0.8166666666666667,0.0,95.25863737228221
baseline,7,0.9233333333333333,0.82,0.0,95.00890762848258
baseline,123,0.9133333333333333,0.8066666666666666,0.0,92.61778598153998
higher_exploration,42,0.93,0.82,0.0,94.75169801884282
higher_exploration,7,0.95,0.83,0.0,98.76875039733308
higher_exploration,123,0.9333333333333333,0.8066666666666666,0.0,94.27717375322312
conservative,42,0.9,0.7933333333333333,0.0,89.65940622790387
conservative,7,0.8966666666666666,0.7866666666666666,0.0,87.88657418243623
conservative,123,0.91,0.7866666666666666,0.0,88.59886529433744
