policy,replicate,episode,event,reward,priority,latency_s,hops,delivered,on_time,path
masked_random,0,0,delivered_on_time,109.65304449152633,0.58686873132588,644.0750941210456,2,True,True,0-2-11
masked_random,0,1,delivered_on_time,91.1297165767854,0.32724517757714733,498.4153188886871,2,True,True,0-9-12
masked_random,0,2,delivered_on_time,150.4248119559226,0.7919794445585358,283.830467666595,2,True,True,0-3-12
masked_random,0,3,missed_deadline,-30.86574688773499,0.7779814545339228,605.3288296740632,1,False,False,0-2
masked_random,0,4,delivered_on_time,71.18539051345897,0.26482603210243216,550.0924161286653,4,True,True,0-4-3-6-11
masked_random,0,5,delivered_on_time,87.80105881005534,0.5338329223410702,821.4142383479068,4,True,True,0-5-8-4-12
masked_random,0,6,delivered_on_time,80.96004701068514,0.3117799091608666,256.5145960183771,5,True,True,0-2-6-1-5-12
masked_random,0,7,delivered_on_time,95.83931966276297,0.5753255489101283,943.7559917479708,2,True,True,0-9-11
masked_random,0,8,missed_deadline,-31.40559287237093,0.5993288347788878,1892.4648748998395,1,False,False,0-6
masked_random,0,9,delivered_late,23.65847342543017,0.8230284542559172,646.7718764501973,3,True,False,0-2-10-13
masked_random,0,10,delivered_on_time,76.91236896026676,0.32285502741351313,524.7707758773035,3,True,True,0-6-3-12
masked_random,0,11,missed_deadline,-30.300668104952592,0.9827665734657165,1280.3420108864736,1,False,False,0-8
masked_random,0,12,delivered_late,48.512605199832926,0.9032947807946551,252.75616864267667,2,True,False,0-1-13
masked_random,0,13,delivered_on_time,74.55871316811549,0.49538078648989226,1147.7803900488973,3,True,True,0-4-2-13
masked_random,0,14,missed_deadline,-32.659561008764925,0.8924726935938925,226.50930526408564,1,False,False,0-4
masked_random,0,15,delivered_late,23.154841376555645,0.7085674482484992,561.8842806670707,3,True,False,0-5-10-12
masked_random,0,16,delivered_on_time,160.59338602802603,0.8970713529208132,118.99007946072277,3,True,True,0-3-9-11
masked_random,0,17,delivered_on_time,60.674602380287126,0.3640146102996342,1113.9308012931335,2,True,True,0-10-13
masked_random,0,18,max_hops,-77.34363975134579,0.38534689545500644,888.6035382534025,8,False,False,0-3-5-4-2-1-5-1-10
masked_random,0,19,missed_deadline,-57.112087456510736,0.40263022499589274,879.7114408920479,4,False,False,0-5-3-5-9
masked_random,0,20,missed_deadline,-31.152032783014178,0.9734759129561705,1181.3762064919852,1,False,False,0-6
masked_random,0,21,missed_deadline,-52.60023933880561,0.4808969333818499,1981.8904635647277,4,False,False,0-8-2-1-8
masked_random,0,22,missed_deadline,-29.629248692183385,0.7243245852915076,219.8354124023198,1,False,False,0-2
masked_random,0,23,delivered_on_time,136.85392584501716,0.7166248708978319,286.4373590938119,2,True,True,0-7-11
masked_random,0,24,delivered_late,1.182735439819755,0.8594388695263648,716.260067972501,5,True,False,0-1-6-8-10-12
baseline_env_rules,0,0,delivered_on_time,134.81704356286448,0.58686873132588,187.4837093959813,2,True,True,0-2-12
baseline_env_rules,0,1,delivered_on_time,110.22987394844432,0.3731711774403993,232.1787258174661,2,True,True,0-10-13
baseline_env_rules,0,2,delivered_on_time,118.15976455123767,0.4162402849928766,139.94155054355437,2,True,True,0-2-12
baseline_env_rules,0,3,delivered_late,12.762174792350507,0.9221860918908711,802.9153801112119,2,True,False,0-6-11
baseline_env_rules,0,4,delivered_on_time,141.15065271927503,0.7019030487559503,315.93383097286056,2,True,True,0-4-13
baseline_env_rules,0,5,delivered_on_time,125.24647336984899,0.4879204182821688,203.18997707831466,2,True,True,0-2-13
baseline_env_rules,0,6,delivered_on_time,98.50019634837162,0.32724517757714733,308.63411472807957,2,True,True,0-8-13
baseline_env_rules,0,7,delivered_on_time,132.34661163387796,0.5123394620406032,54.46030560045386,2,True,True,0-4-12
baseline_env_rules,0,8,delivered_on_time,84.65340591349029,0.1633390431094142,354.9260267522236,2,True,True,0-5-11
baseline_env_rules,0,9,delivered_on_time,156.15211109288242,0.7919794445585358,174.81392445197838,2,True,True,0-5-12
baseline_env_rules,0,10,delivered_on_time,137.71109655275617,0.5366035699772459,114.21663698142537,2,True,True,0-9-13
baseline_env_rules,0,11,delivered_on_time,112.43338940038853,0.44623689619924967,247.91117818762189,2,True,True,0-1-13
baseline_env_rules,0,12,delivered_on_time,150.55849874159244,0.7172436600629449,124.05915097560779,2,True,True,0-1-13
baseline_env_rules,0,13,delivered_on_time,97.38070574783255,0.23951418697548613,149.1202978143463,2,True,True,0-1-12
baseline_env_rules,0,14,delivered_late,38.04246335466841,0.7779814545339228,357.73095069960016,2,True,False,0-8-12
baseline_env_rules,0,15,delivered_on_time,151.02862199254218,0.8377128084752794,289.3664630503496,2,True,True,0-5-11
baseline_env_rules,0,16,delivered_late,47.07688862331637,0.774418332517328,281.183027204578,2,True,False,0-4-13
baseline_env_rules,0,17,delivered_on_time,110.54745838774429,0.42808035718106063,301.8519703504151,2,True,True,0-2-11
baseline_env_rules,0,18,delivered_on_time,90.61814394032162,0.14423530916177438,140.56996817034926,2,True,True,0-8-12
baseline_env_rules,0,19,delivered_on_time,124.11860086818638,0.5381957181241427,186.0466609950098,2,True,True,0-9-13
baseline_env_rules,0,20,delivered_on_time,170.95657087433582,0.9461257201786679,280.8571835278515,2,True,True,0-4-13
baseline_env_rules,0,21,delivered_on_time,101.27261324622295,0.26482603210243216,173.66373142803536,2,True,True,0-6-11
baseline_env_rules,0,22,delivered_on_time,145.4597687245336,0.7348056154573248,128.61362933061554,2,True,True,0-9-11
baseline_env_rules,0,23,delivered_on_time,103.02774398576463,0.19955096316493412,74.40520638972949,2,True,True,0-10-12
baseline_env_rules,0,24,delivered_on_time,152.83185816391176,0.7376414774571487,148.59270574484248,2,True,True,0-4-12
baseline_physical,0,0,delivered_on_time,134.81704356286448,0.58686873132588,187.4837093959813,2,True,True,0-2-12
baseline_physical,0,1,delivered_on_time,110.22987394844432,0.3731711774403993,232.1787258174661,2,True,True,0-10-13
baseline_physical,0,2,delivered_on_time,118.15976455123767,0.4162402849928766,139.94155054355437,2,True,True,0-2-12
baseline_physical,0,3,delivered_late,34.68553452027949,0.9221860918908711,449.4756904172913,2,True,False,0-8-13
baseline_physical,0,4,missed_deadline,-35.30482086730659,0.7019030487559503,4208.200868604186,1,False,False,0-8
baseline_physical,0,5,delivered_on_time,125.24647336984899,0.4879204182821688,203.18997707831466,2,True,True,0-2-13
baseline_physical,0,6,delivered_on_time,91.69722768822442,0.32724517757714733,376.79904592799625,2,True,True,0-8-11
baseline_physical,0,7,delivered_on_time,132.34661163387796,0.5123394620406032,54.46030560045386,2,True,True,0-4-12
baseline_physical,0,8,delivered_on_time,66.62470493885189,0.1633390431094142,583.4276990331853,2,True,True,0-7-12
baseline_physical,0,9,delivered_on_time,156.15211109288242,0.7919794445585358,174.81392445197838,2,True,True,0-5-12
baseline_physical,0,10,delivered_on_time,137.71109655275617,0.5366035699772459,114.21663698142537,2,True,True,0-9-13
baseline_physical,0,11,delivered_on_time,100.27736710045014,0.44623689619924967,416.9131086375685,3,True,True,0-1-10-13
baseline_physical,0,12,delivered_on_time,150.55849874159244,0.7172436600629449,124.05915097560779,2,True,True,0-1-13
baseline_physical,0,13,delivered_on_time,97.38070574783255,0.23951418697548613,149.1202978143463,2,True,True,0-1-12
baseline_physical,0,14,delivered_late,38.38220945433372,0.7779814545339228,380.6319260043422,2,True,False,0-4-13
baseline_physical,0,15,delivered_late,36.014432722294394,0.8377128084752794,464.8129478634639,2,True,False,0-6-11
baseline_physical,0,16,delivered_late,45.880056781134535,0.774418332517328,299.61912066018743,2,True,False,0-10-12
baseline_physical,0,17,delivered_on_time,109.68982801109699,0.42808035718106063,370.55667447429914,2,True,True,0-5-11
baseline_physical,0,18,delivered_on_time,92.82672038336568,0.14423530916177438,155.68106771517733,2,True,True,0-8-11
baseline_physical,0,19,delivered_on_time,124.11860086818638,0.5381957181241427,186.0466609950098,2,True,True,0-9-13
baseline_physical,0,20,delivered_on_time,170.95657087433582,0.9461257201786679,280.8571835278515,2,True,True,0-4-13
baseline_physical,0,21,delivered_on_time,104.14684262256408,0.26482603210243216,189.0340064777788,2,True,True,0-6-12
baseline_physical,0,22,delivered_on_time,145.4597687245336,0.7348056154573248,128.61362933061554,2,True,True,0-9-11
baseline_physical,0,23,delivered_on_time,103.02774398576463,0.19955096316493412,74.40520638972949,2,True,True,0-10-12
baseline_physical,0,24,delivered_late,54.73723487490642,0.7376414774571487,187.90610336007006,2,True,False,0-1-11
rl_seed_7,0,0,delivered_on_time,131.8002222047469,0.58686873132588,228.230860962436,2,True,True,0-10-13
rl_seed_7,0,1,delivered_on_time,110.22987394844432,0.3731711774403993,232.1787258174661,2,True,True,0-10-13
rl_seed_7,0,2,delivered_on_time,114.24354657445342,0.4162402849928766,167.74317665449377,2,True,True,0-10-11
rl_seed_7,0,3,missed_deadline,-33.67985432421781,0.9221860918908711,332.8557529469721,1,False,False,0-9
rl_seed_7,0,4,delivered_on_time,138.08156788013324,0.7019030487559503,336.1435430163919,2,True,True,0-10-12
rl_seed_7,0,5,delivered_on_time,123.59481372289574,0.4879204182821688,212.80275810835928,2,True,True,0-10-12
rl_seed_7,0,6,delivered_on_time,96.65767399505219,0.32724517757714733,365.9346363795076,2,True,True,0-9-11
rl_seed_7,0,7,delivered_on_time,125.63799176586701,0.5123394620406032,147.74312816035803,2,True,True,0-9-11
rl_seed_7,0,8,delivered_on_time,76.55408781103743,0.1633390431094142,459.2364946745731,2,True,True,0-10-12
rl_seed_7,0,9,delivered_late,42.95669570477474,0.7919794445585358,374.91348937588805,2,True,False,0-10-12
rl_seed_7,0,10,delivered_on_time,137.71109655275617,0.5366035699772459,114.21663698142537,2,True,True,0-9-13
rl_seed_7,0,11,delivered_on_time,117.13203564831618,0.44623689619924967,256.05784883167377,2,True,True,0-10-12
rl_seed_7,0,12,delivered_on_time,142.47934434861187,0.7172436600629449,163.61327884781255,2,True,True,0-10-12
rl_seed_7,0,13,delivered_on_time,101.69869134999321,0.23951418697548613,175.4057285036751,2,True,True,0-9-12
rl_seed_7,0,14,delivered_late,34.83714038118934,0.7779814545339228,479.06723191714013,2,True,False,0-9-12
rl_seed_7,0,15,delivered_late,34.38406879127382,0.8377128084752794,468.81148797363034,2,True,False,0-9-12
rl_seed_7,0,16,delivered_late,45.880056781134535,0.774418332517328,299.61912066018743,2,True,False,0-10-12
rl_seed_7,0,17,delivered_on_time,105.00367012325368,0.42808035718106063,417.22661050531275,2,True,True,0-10-12
rl_seed_7,0,18,delivered_on_time,90.00114419877849,0.14423530916177438,168.47478199890642,2,True,True,0-10-12
rl_seed_7,0,19,delivered_on_time,124.11860086818638,0.5381957181241427,186.0466609950098,2,True,True,0-9-13
rl_seed_7,0,20,delivered_late,35.25036030091961,0.9461257201786679,419.33622582812467,2,True,False,0-10-13
rl_seed_7,0,21,delivered_on_time,98.1709604528749,0.26482603210243216,286.9657947767447,2,True,True,0-10-11
rl_seed_7,0,22,delivered_on_time,145.99826477206233,0.7348056154573248,159.9277763419014,2,True,True,0-10-13
rl_seed_7,0,23,delivered_on_time,95.69641000087134,0.19955096316493412,123.59234949732993,2,True,True,0-9-12
rl_seed_7,0,24,delivered_late,44.76725920395441,0.7376414774571487,225.5277458156546,2,True,False,0-9-13
