variant,seed,delivered,on_time,invalid,mean_reward
full,42,0.9333333333333333,0.8166666666666667,0.0,95.25863737228221
full,7,0.9233333333333333,0.82,0.0,95.00890762848258
full,123,0.9133333333333333,0.8066666666666666,0.0,92.61778598153998
no_priority,42,0.92,0.8066666666666666,0.0,92.59789915599202
no_priority,7,0.9133333333333333,0.8066666666666666,0.0,92.50263370815233
no_priority,123,0.9333333333333333,0.83,0.0,96.65250390402298
no_weather_health,42,0.9333333333333333,0.8266666666666667,0.0,95.98368395386291
no_weather_health,7,0.9166666666666666,0.8033333333333333,0.0,92.19345499416055
no_weather_health,123,0.9166666666666666,0.8066666666666666,0.0,92.67055930403626
