frame,time,active_links,max_possible_links,link_fraction,total_link_distance,mean_link_distance,normalized_distance_sum,link_score,receiver_count,covered_receivers,coverage_fraction,mean_nearest_receiver_distance,max_nearest_receiver_distance,receiver_penalty,worst_receiver_penalty,blended_receiver_penalty,base_score,score,running_score
0,0.0,49,435,0.11264367816091954,164001.60473326995,3346.9715251687744,32.80032094665399,0.07540303665897469,100,78,0.78,1808.9976342647108,inf,0.5022036309452947,1.0,0.7511018154726474,0.1621506105931636,0.39040537652648294,0.39040537652648294
1,11.117287381878821,49,435,0.11264367816091954,163826.837168363,3343.4048401706737,32.7653674336726,0.07532268375556919,100,77,0.77,1799.6491973578854,inf,0.5071459763931143,1.0,0.7535729881965572,0.160874847779506,0.3854021871194488,0.38790378182296587
2,22.234574763757642,48,435,0.1103448275862069,158613.15884480107,3304.440809266689,31.722631768960213,0.07292559027347176,100,78,0.78,1817.0013269849076,inf,0.5034522070096457,1.0,0.7517261035048228,0.16059974338432448,0.3904014993584608,0.38873635433479753
3,33.35186214563646,48,435,0.1103448275862069,158341.4692062601,3298.7806084637523,31.668293841252023,0.07280067549713108,100,78,0.78,1817.11317758845,inf,0.5034696557037983,1.0,0.7517348278518992,0.16053292382261597,0.39040133230955654,0.3891525988284873
4,44.469149527515285,48,435,0.1103448275862069,158111.91095867346,3293.9981449723637,31.62238219173469,0.07269513147525217,100,78,0.78,1820.1246507856565,inf,0.5039394455225624,1.0,0.7519697227612812,0.16036270435698552,0.39040090676089245,0.38940226041496834
5,55.58643690939411,48,435,0.1103448275862069,157929.92776851304,3290.2068285106884,31.585985553702614,0.07261146104299451,100,78,0.78,1823.9936828807956,inf,0.5045430145294042,1.0,0.7522715072647022,0.16016997688914614,0.3904004249422229,0.3895686211695108
6,66.70372429127293,47,435,0.10804597701149425,152784.00371123283,3250.7234832177196,30.55680074224656,0.07024551894769324,100,76,0.76,1799.4101224449405,inf,0.513510338611631,1.0,0.7567551693058154,0.15674517482093886,0.38039186293705235,0.388257655707731
7,77.82101167315176,47,435,0.10804597701149425,152680.80085180557,3248.527677697991,30.53616017036111,0.07019806935715198,100,77,0.77,1819.109768238685,inf,0.5101429043087574,1.0,0.7550714521543787,0.15756330860138668,0.3853939082715035,0.38789968727820257
8,88.93829905503058,48,435,0.1103448275862069,157602.28409654924,3283.380918678109,31.52045681930985,0.07246082027427551,100,77,0.77,1824.0043469090253,inf,0.51089666942399,1.0,0.755448334711995,0.15850624278114028,0.38539626560695284,0.3876215293147304
9,100.05558643690941,48,435,0.1103448275862069,157527.55883387488,3281.8241423723935,31.50551176677498,0.07242646383166662,100,76,0.76,1810.2520402658017,inf,0.5151583101204017,1.0,0.7575791550602009,0.1574236543857328,0.38039355913596434,0.3868987322968538
10,111.17287381878823,49,435,0.11264367816091954,162491.11324816302,3316.1451683298574,32.4982226496326,0.07470855781524736,100,76,0.76,1808.298938022181,inf,0.5148614385793714,1.0,0.7574307192896856,0.15863891926278084,0.38039659729815695,0.3863076291151541
11,122.29016120066706,50,435,0.11494252873563218,167447.11997274854,3348.9423994549707,33.4894239945497,0.07698718159666598,100,75,0.75,1794.4695812222524,inf,0.5191704371833379,1.0,0.7595852185916689,0.15870098150249856,0.37539675245375626,0.38539838939337095
12,133.40744858254587,50,435,0.11494252873563218,167435.49910823035,3348.709982164607,33.48709982164607,0.07698183867045073,100,76,0.76,1802.65496830675,inf,0.5140035551826262,1.0,0.7570017775913132,0.15999003053956884,0.38039997507634893,0.38501389598436925
13,144.52473596442468,51,435,0.11724137931034483,172449.01160792107,3381.3531687827663,34.48980232158419,0.07928690188869929,100,76,0.76,1802.3228238289123,inf,0.5139530692219946,1.0,0.7569765346109973,0.16115518363885095,0.38040288795909716,0.3846845382682784
